,...1,ENTREZID,ENSEMBL,SYMBOL,logFC,logCPM,F,PValue,FDR,direction
ENSG00000242071,RPL7AP6,326310,ENSG00000242071,RPL7AP6,0.530494488,5.64846506,17.79424952,0.000151055,0.122176768,up
ENSG00000168071,CCDC88B,283234,ENSG00000168071,CCDC88B,-0.596885739,7.654483056,17.59942565,0.000161895,0.122176768,down
ENSG00000186834,HEXIM1,10614,ENSG00000186834,HEXIM1,-0.276432316,5.785031017,17.54652723,0.000164978,0.122176768,down
ENSG00000213312,RPL7AP34,441154,ENSG00000213312,RPL7AP34,0.613154774,2.007144535,17.45348593,0.000170552,0.122176768,up
ENSG00000151353,TMEM18,129787,ENSG00000151353,TMEM18,0.396820774,4.381979382,17.30943432,0.000179579,0.122176768,up
ENSG00000160633,SAFB,6294,ENSG00000160633,SAFB,-0.291215444,6.955206802,17.23794566,0.000184246,0.122176768,down
ENSG00000173230,GOLGB1,2804,ENSG00000173230,GOLGB1,-0.436901258,7.978864887,17.20431628,0.000186485,0.122176768,down
ENSG00000134755,DSC2,1824,ENSG00000134755,DSC2,-1.024460546,5.805809529,16.72392113,0.00022182,0.122176768,down
ENSG00000173442,EHBP1L1,254102,ENSG00000173442,EHBP1L1,-0.470128941,7.723825505,16.48626005,0.00024186,0.122176768,down
ENSG00000143486,EIF2D,1939,ENSG00000143486,EIF2D,0.386983766,5.653675684,16.39921413,0.000249673,0.122176768,up
ENSG00000141577,CEP131,22994,ENSG00000141577,CEP131,-0.40177177,3.028242326,16.14521042,0.000274035,0.122176768,down
ENSG00000105372,RPS19,6223,ENSG00000105372,RPS19,0.534421778,8.634838308,16.12491227,0.000276088,0.122176768,up
ENSG00000213363,RPS3P6,645000,ENSG00000213363,RPS3P6,0.506875998,4.517735982,15.9635427,0.000292997,0.122176768,up
ENSG00000107833,NPM3,10360,ENSG00000107833,NPM3,0.578940867,2.734913635,15.92215717,0.000297508,0.122176768,up
ENSG00000178996,SNX18,112574,ENSG00000178996,SNX18,-0.504314739,8.059787307,15.90920196,0.000298935,0.122176768,down
ENSG00000154845,PPP4R1,9989,ENSG00000154845,PPP4R1,-0.695252042,8.080031701,15.73817804,0.00031847,0.122176768,down
