"","...1","ENTREZID","ENSEMBL","SYMBOL","logFC","logCPM","F","PValue","FDR","direction"
"ENSG00000089009","RPL6",6128,"ENSG00000089009","RPL6",0.448856666418944,6.5807980383289,5.7187316994721,0.0219447815306051,0.157591283572476,"up"
"ENSG00000121406","ZNF549",256051,"ENSG00000121406","ZNF549",0.208608082994456,5.04889043761193,5.71550854974558,0.0219795935521792,0.15776738218259,"up"
"ENSG00000058866","DGKG",1608,"ENSG00000058866","DGKG",-0.435269162639039,4.4574540061365,5.71303126656329,0.0220063903986178,0.157873678894344,"down"
"ENSG00000112208","BAG2",9532,"ENSG00000112208","BAG2",0.282117557898528,3.91280561563182,5.71122797533354,0.0220259189048343,0.157873678894344,"up"
"ENSG00000166900","STX3",6809,"ENSG00000166900","STX3",-0.518181217282604,7.58778339902626,5.7112046920039,0.0220261711712979,0.157873678894344,"down"
"ENSG00000150991","UBC",7316,"ENSG00000150991","UBC",-0.281927415169949,9.4909058088538,5.71033553119764,0.0220355904535544,0.157873678894344,"down"
"ENSG00000153721","CNKSR3",154043,"ENSG00000153721","CNKSR3",-0.643625262786897,0.295016300994808,5.70859314262997,0.0220544862336947,0.157935255924805,"down"
"ENSG00000117676","RPS6KA1",6195,"ENSG00000117676","RPS6KA1",-0.350007896019712,8.28171846749914,5.70570588796738,0.0220858364524389,0.158085921796822,"down"
"ENSG00000100034","PPM1F",9647,"ENSG00000100034","PPM1F",-0.402935989480226,7.72392857646039,5.70146188520578,0.0221320060814636,0.158272225124411,"down"
"ENSG00000165730","STOX1",219736,"ENSG00000165730","STOX1",0.943575121457722,1.30970323554643,5.70094580543083,0.0221376275315146,0.158272225124411,"up"
"ENSG00000112425","EPM2A",7957,"ENSG00000112425","EPM2A",0.233503238924669,3.52142819803414,5.70030941526857,0.0221445616037373,0.158272225124411,"up"
"ENSG00000107745","MICU1",10367,"ENSG00000107745","MICU1",-0.260188198987352,5.14577174839475,5.69952090076071,0.022153156477758,0.158272225124411,"down"
"ENSG00000103356","EARS2",124454,"ENSG00000103356","EARS2",0.226655366131215,4.44586627749838,5.69765737539602,0.0221734834231833,0.158306496430155,"up"
"ENSG00000276128","GXYLT1P5",100131760,"ENSG00000276128","GXYLT1P5",-1.62909065111768,-2.77588095630159,5.69695432846727,0.0221811573597886,0.158306496430155,"down"
"ENSG00000155636","RBM45",129831,"ENSG00000155636","RBM45",0.212183432610725,4.50726506028546,5.69450872672617,0.0222078741424218,0.158306496430155,"up"
"ENSG00000105865","DUS4L",11062,"ENSG00000105865","DUS4L",0.269753099612682,2.80012356046313,5.6938340138878,0.0222152511225237,0.158306496430155,"up"
"ENSG00000211598","IGKV4-1",28908,"ENSG00000211598","IGKV4-1",0.720453293323596,4.45227575442109,5.69359770723017,0.0222178354114674,0.158306496430155,"up"
"ENSG00000241316","SUCLG2-AS1",101927111,"ENSG00000241316","SUCLG2-AS1",0.376798119740966,1.24429118566357,5.6918660883815,0.0222367826221354,0.158306496430155,"up"
"ENSG00000133246","PRAM1",84106,"ENSG00000133246","PRAM1",-0.500743761707991,3.8948554796024,5.69099256966378,0.0222463472224798,0.158306496430155,"down"
"ENSG00000206190","ATP10A",57194,"ENSG00000206190","ATP10A",0.303798609131535,5.5635487187602,5.69039491735734,0.0222528937886702,0.158306496430155,"up"
"ENSG00000164674","SYTL3",94120,"ENSG00000164674","SYTL3",-0.487238177394672,5.92572113008362,5.69028031515237,0.0222541493571728,0.158306496430155,"down"
"ENSG00000211810","TRAV29DV5",28653,"ENSG00000211810","TRAV29DV5",0.430884731413927,1.6170655946489,5.68963637360941,0.0222612057333298,0.158306496430155,"up"
"ENSG00000106305","AIMP2",7965,"ENSG00000106305","AIMP2",0.267554418659438,3.34234862479835,5.68760289227202,0.0222835047416177,0.158391606257989,"up"
"ENSG00000166295","ANAPC16",119504,"ENSG00000166295","ANAPC16",0.209501799045126,7.02009121906614,5.6818370928765,0.0223468637475391,0.158474216261254,"up"
"ENSG00000129657","SEC14L1",6397,"ENSG00000129657","SEC14L1",-0.610345568820833,8.76688101467797,5.68154421572842,0.0223500873089989,0.158474216261254,"down"
"ENSG00000064545","TMEM161A",54929,"ENSG00000064545","TMEM161A",0.305175905613711,2.01630133923416,5.68122307363113,0.0223536225484911,0.158474216261254,"up"
"ENSG00000080815","PSEN1",5663,"ENSG00000080815","PSEN1",-0.337600842242608,8.19832319315953,5.68027584714841,0.0223640534628074,0.158474216261254,"down"
"ENSG00000101654","RNMT",8731,"ENSG00000101654","RNMT",0.178695547279279,5.62850431372061,5.67989019469886,0.0223683018007456,0.158474216261254,"up"
"ENSG00000167904","TMEM68",137695,"ENSG00000167904","TMEM68",0.199929363031591,3.93458505278977,5.67918931775391,0.0223760248822908,0.158474216261254,"up"
"ENSG00000230489","VAV3-AS1",100873946,"ENSG00000230489","VAV3-AS1",0.505844467793328,-0.296260466689684,5.67866236059139,0.02238183341467,0.158474216261254,"up"
"ENSG00000196793","ZNF239",8187,"ENSG00000196793","ZNF239",0.39545390915433,2.72969013459405,5.67597595475626,0.0224114704724319,0.158474216261254,"up"
"ENSG00000197888","UGT2B17",7367,"ENSG00000197888","UGT2B17",1.42536447455025,-1.08154703434965,5.67537299258311,0.0224181283323406,0.158474216261254,"up"
"ENSG00000204899","MZT1",440145,"ENSG00000204899","MZT1",0.302686095143419,3.01897277047651,5.67441381153834,0.0224287239481291,0.158474216261254,"up"
"ENSG00000117305","HMGCL",3155,"ENSG00000117305","HMGCL",0.160346354398638,4.5312165168626,5.67434249772022,0.0224295119345229,0.158474216261254,"up"
"ENSG00000144711","IQSEC1",9922,"ENSG00000144711","IQSEC1",-0.46632984003275,7.72175008576956,5.67428224974088,0.0224301776716256,0.158474216261254,"down"
"ENSG00000106477","CEP41",95681,"ENSG00000106477","CEP41",0.29304959798591,3.9089331852446,5.67346508715741,0.0224392093910037,0.158474216261254,"up"
"ENSG00000100284","TOM1",10043,"ENSG00000100284","TOM1",-0.402711597521171,5.95404137096211,5.67340865476985,0.0224398332574474,0.158474216261254,"down"
"ENSG00000101425","BPI",671,"ENSG00000101425","BPI",-0.942799138772862,2.14928940189083,5.67104724427273,0.0224659557697562,0.158474515828905,"down"
"ENSG00000196465","MYL6B",140465,"ENSG00000196465","MYL6B",0.425256069346457,0.817730324859384,5.67012346464101,0.022476183813529,0.158474515828905,"up"
"ENSG00000005436","GCFC2",6936,"ENSG00000005436","GCFC2",0.272158287187102,4.7160370470011,5.67006249385319,0.0224768590566068,0.158474515828905,"up"
"ENSG00000180304","OAZ2",4947,"ENSG00000180304","OAZ2",-0.3634389937241,7.07049602618335,5.66966873154503,0.0224812204492479,0.158474515828905,"down"
"ENSG00000121297","TSHZ3",57616,"ENSG00000121297","TSHZ3",-0.647183623757176,3.34458013727885,5.66599575903482,0.0225219472419317,0.158688646651331,"down"
"ENSG00000021574","SPAST",6683,"ENSG00000021574","SPAST",-0.208677347446056,6.48091087768807,5.66404592451939,0.0225435999439485,0.158768247285539,"down"
"ENSG00000247516","MIR4458HG",100505738,"ENSG00000247516","MIR4458HG",0.510749224062704,0.229512617180207,5.66166359303813,0.0225700860947028,0.158806535254697,"up"
"ENSG00000106799","TGFBR1",7046,"ENSG00000106799","TGFBR1",-0.223473452323752,7.87412079624048,5.66081568618016,0.0225795210391483,0.158806535254697,"down"
"ENSG00000139178","C1RL",51279,"ENSG00000139178","C1RL",-0.428182123797616,6.28927857744927,5.66042064002863,0.0225839183095156,0.158806535254697,"down"
"ENSG00000120868","APAF1",317,"ENSG00000120868","APAF1",-0.455806276795358,8.12098040741632,5.65983238882381,0.0225904678704992,0.158806535254697,"down"
"ENSG00000112561","TFEB",7942,"ENSG00000112561","TFEB",-0.316624090415057,5.3254277116179,5.65630787290449,0.0226297527914995,0.159009793675192,"down"
"ENSG00000088543","C3orf18",51161,"ENSG00000088543","C3orf18",0.294222349184025,3.35674400959329,5.65240147678167,0.0226733807226159,0.1591170464974,"up"
"ENSG00000166886","NAB2",4665,"ENSG00000166886","NAB2",0.255617922189481,3.55218842531956,5.65216399358712,0.0226760359508251,0.1591170464974,"up"
"ENSG00000253409","TRBV7-4",28594,"ENSG00000253409","TRBV7-4",-1.29158862509427,-1.34762803285405,5.65215370740978,0.0226761509650939,0.1591170464974,"down"
"ENSG00000163563","MNDA",4332,"ENSG00000163563","MNDA",-0.460759076607668,11.0109108884867,5.65077855556387,0.0226915328342955,0.159152141544107,"down"
"ENSG00000166913","YWHAB",7529,"ENSG00000166913","YWHAB",-0.223154039850889,8.86516118890871,5.64863088201113,0.0227155784260032,0.159242352293811,"down"
"ENSG00000168495","POLR3D",661,"ENSG00000168495","POLR3D",0.250540788493088,4.17717885064582,5.64713522831685,0.0227323402384958,0.159242352293811,"up"
"ENSG00000132205","EMILIN2",84034,"ENSG00000132205","EMILIN2",-0.342283219040806,6.70718816758978,5.64639575265942,0.0227406325034211,0.159242352293811,"down"
"ENSG00000164024","METAP1",23173,"ENSG00000164024","METAP1",0.153605942867277,4.7442253731391,5.64592260494312,0.0227459399636998,0.159242352293811,"up"
"ENSG00000106588","PSMA2",5683,"ENSG00000106588","PSMA2",0.236744534232812,4.05839896276831,5.64364776891818,0.0227714763262925,0.159295879559258,"up"
"ENSG00000123405","NFE2",4778,"ENSG00000123405","NFE2",-0.509895283750294,8.05707767837633,5.64127767238833,0.0227981150905546,0.159295879559258,"down"
"ENSG00000161638","ITGA5",3678,"ENSG00000161638","ITGA5",-0.386561997592327,7.75183692173114,5.64089765194113,0.0228023894809566,0.159295879559258,"down"
"ENSG00000215915","ATAD3C",219293,"ENSG00000215915","ATAD3C",0.832537984971593,-0.948277959079675,5.63936973033196,0.0228195839899363,0.159295879559258,"up"
"ENSG00000119640","ACYP1",97,"ENSG00000119640","ACYP1",0.327825553762206,2.13355717295038,5.6388990203472,0.0228248839685077,0.159295879559258,"up"
"ENSG00000179144","GIMAP7",168537,"ENSG00000179144","GIMAP7",0.518669753260073,7.56356374994879,5.6384375573815,0.0228300811247145,0.159295879559258,"up"
"ENSG00000125538","IL1B",3553,"ENSG00000125538","IL1B",-0.499637594920679,6.04753698573652,5.63733627362434,0.0228424893474086,0.159295879559258,"down"
"ENSG00000136161","RCBTB2",1102,"ENSG00000136161","RCBTB2",-0.33311063440501,6.48782214659532,5.63712194072489,0.0228449050970058,0.159295879559258,"down"
"ENSG00000114391","RPL24",6152,"ENSG00000114391","RPL24",0.455214981582364,6.41236925542215,5.63692779062301,0.0228470936049314,0.159295879559258,"up"
"ENSG00000241549","GUSBP2",387036,"ENSG00000241549","GUSBP2",0.667117490166828,0.0839259637273522,5.63481008115837,0.0228709797087751,0.159387575992091,"up"
"ENSG00000104763","ASAH1",427,"ENSG00000104763","ASAH1",-0.402358336730761,9.07718475125274,5.63097226446853,0.0229143362614838,0.159387575992091,"down"
"ENSG00000124201","ZNFX1",57169,"ENSG00000124201","ZNFX1",-0.410432604990553,8.73467971901526,5.63056872954664,0.0229189002453573,0.159387575992091,"down"
"ENSG00000092531","SNAP23",8773,"ENSG00000092531","SNAP23",-0.329392847353308,7.9336984356031,5.63052365231104,0.0229194101304915,0.159387575992091,"down"
"ENSG00000144357","UBR3",130507,"ENSG00000144357","UBR3",-0.184829156928517,7.28849287689498,5.63014416825618,0.0229237031011064,0.159387575992091,"down"
"ENSG00000171130","ATP6V0E2",155066,"ENSG00000171130","ATP6V0E2",0.313323372916499,4.60490702242117,5.62989799204712,0.022926488472592,0.159387575992091,"up"
"ENSG00000124374","PAIP2B",400961,"ENSG00000124374","PAIP2B",0.27772491591767,4.16250157400409,5.62892431597893,0.022937508767608,0.159387575992091,"up"
"ENSG00000171105","INSR",3643,"ENSG00000171105","INSR",-0.33232114762575,4.44189558787584,5.62765695599926,0.0229518616459639,0.159387575992091,"down"
"ENSG00000249193","HSPD1P5",345041,"ENSG00000249193","HSPD1P5",0.753885854364386,-1.22115655802497,5.62748525374718,0.0229538069260721,0.159387575992091,"up"
"ENSG00000258102","MAP1LC3B2",643246,"ENSG00000258102","MAP1LC3B2",-0.542911935875369,2.15103565904031,5.62468929839456,0.0229855085233561,0.159465786351631,"down"
"ENSG00000089505","CMTM1",113540,"ENSG00000089505","CMTM1",-0.440855071843886,3.245847888537,5.62402478228798,0.0229930500344182,0.159465786351631,"down"
"ENSG00000133961","NUMB",8650,"ENSG00000133961","NUMB",-0.449534269445065,7.60020203650789,5.62285419693064,0.0230063413859239,0.159465786351631,"down"
"ENSG00000171448","ZBTB26",57684,"ENSG00000171448","ZBTB26",0.198979858090498,4.4521720151155,5.62224664236245,0.0230132431152579,0.159465786351631,"up"
"ENSG00000126249","PDCD2L",84306,"ENSG00000126249","PDCD2L",0.385841122359266,1.32085306823764,5.62190945934034,0.0230170744323088,0.159465786351631,"up"
"ENSG00000126814","TRMT5",57570,"ENSG00000126814","TRMT5",0.243955466030136,3.40564194323146,5.6207107419695,0.0230307007230244,0.159488122622136,"up"
"ENSG00000103381","CPPED1",55313,"ENSG00000103381","CPPED1",-0.483612144329849,9.18883160825915,5.61706254079473,0.0230722250772133,0.159571754803221,"down"
"ENSG00000186106","ANKRD46",157567,"ENSG00000186106","ANKRD46",0.259265590943236,4.64338966167901,5.61691427782132,0.0230739143427287,0.159571754803221,"up"
"ENSG00000232956","SNHG15",285958,"ENSG00000232956","SNHG15",0.256714505921617,4.04588344854029,5.61690668921855,0.0230740008086838,0.159571754803221,"up"
"ENSG00000206573","THUMPD3-AS1",440944,"ENSG00000206573","THUMPD3-AS1",0.250526381923002,6.18877205252186,5.61589803687045,0.0230854967075572,0.159579276609678,"up"
"ENSG00000106012","IQCE",23288,"ENSG00000106012","IQCE",-0.279548547113725,4.8815327905256,5.61464854148122,0.0230997461717009,0.159605817171933,"down"
"ENSG00000220494","YAP1P1",442266,"ENSG00000220494","YAP1P1",-0.720660507119168,-1.48756700529139,5.61131860408986,0.0231377679356681,0.159796512607957,"down"
"ENSG00000184436","THAP7",80764,"ENSG00000184436","THAP7",0.287378587241614,4.83110253685086,5.6087760438481,0.0231668449669029,0.159925289073641,"up"
"ENSG00000116815","CD58",965,"ENSG00000116815","CD58",-0.350224600722021,5.83892276788957,5.606911411419,0.0231881943044146,0.159942952319151,"down"
"ENSG00000182866","LCK",3932,"ENSG00000182866","LCK",0.321831100996272,8.11844819559814,5.60612790188523,0.0231971715547512,0.159942952319151,"up"
